ID;estado_credito;ingreso_anual;estado_verificacion;duracion_empleo;tipo_propiedad;tasa_interes;cantidad_credito;tipo_credito;plazo;categoria_crediticia
343480;Pagado;24000;Verificado;10+ años;Alquilada;10.65%;5000;Tarjeta de crédito; 36 meses;B
424837;Incumplido;30000;Verificado desde la fuente;< 1 año;Alquilada;15.27%;2500;car; 60 meses;C
890229;Pagado;12252;No Verificado;10+ años;Alquilada;15.96%;2400;Negocio pequeño; 36 meses;C
527512;Pagado;49200;Verificado desde la fuente;10+ años;Alquilada;13.49%;10000;Otro; 36 meses;C
968072;Pagado;80000;Verificado desde la fuente;1 año;Alquilada;12.69%;3000;Otro; 60 meses;B
911883;Pagado;36000;Verificado desde la fuente;3 años;Alquilada;7.90%;5000;Matrimonio; 36 meses;A
399434;Pagado;47004;No Verificado;8 años;Alquilada;15.96%;7000;Consolidación de deuda; 60 meses;C
984312;Pagado;48000;Verificado desde la fuente;9 años;Alquilada;18.64%;3000;car; 36 meses;E
794858;Incumplido;40000;Verificado desde la fuente;4 años;Propia;21.28%;5600;Negocio pequeño; 60 meses;F
934075;Incumplido;15000;Verificado;< 1 año;Alquilada;12.69%;5375;Otro; 60 meses;B
578285;Pagado;72000;No Verificado;5 años;Propia;14.65%;6500;Consolidación de deuda; 60 meses;C
135997;Pagado;75000;Verificado desde la fuente;10+ años;Propia;12.69%;12000;Consolidación de deuda; 36 meses;B
573167;Incumplido;30000;Verificado desde la fuente;< 1 año;Alquilada;13.49%;9000;Consolidación de deuda; 36 meses;C
889375;Pagado;15000;Verificado desde la fuente;3 años;Alquilada;9.91%;3000;Tarjeta de crédito; 36 meses;B
858742;Incumplido;1.00E+05;Verificado desde la fuente;3 años;Alquilada;10.65%;10000;Otro; 36 meses;B
854029;Pagado;28000;No Verificado;< 1 año;Alquilada;16.29%;1000;Consolidación de deuda; 36 meses;D
146859;Pagado;42000;No Verificado;4 años;Alquilada;15.27%;10000;Remodelación de vivienda; 36 meses;C
986728;Pagado;110000;No Verificado;10+ años;Hipotecada;6.03%;3600;Consumo; 36 meses;A
372024;Pagado;84000;Verificado;1 año;Hipotecada;11.71%;6000;Causa médica; 36 meses;B
983825;Pagado;77385.19;No Verificado;6 años;Alquilada;6.03%;9200;Consolidación de deuda; 36 meses;A
